id,crop,species,stage,event,parameter,value,minimum,maximum,unit,method,base_temperature_c,upper_temperature_c,biofix,reference_cultivar,reference_region,growing_condition,source_id,authors,year,doi,url,evidence_level,confidence,transferability,evidence_status,activation_status,stage_mapping_status,notes
tomato_tbase_001,tomato,Solanum lycopersicum,UNKNOWN,UNKNOWN,Tbase,7,,,degC,average,,28,,,,,SRC-001,"Paredes, P.; López-Urrea, R.; Martínez-Romero, Á.; et al.",2025,10.1016/j.agwat.2025.109755,https://www.sciencedirect.com/science/article/pii/S037837742500469X,PEER_REVIEWED_REVIEW,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Paredes et al. synthesis/table; fresh-market cultivar not stated. conflict_group=tomato_tbase.
tomato_tupper_001,tomato,Solanum lycopersicum,UNKNOWN,UNKNOWN,Tupper,28,,,degC,average,7,,,,,,SRC-001,"Paredes, P.; López-Urrea, R.; Martínez-Romero, Á.; et al.",2025,10.1016/j.agwat.2025.109755,https://www.sciencedirect.com/science/article/pii/S037837742500469X,PEER_REVIEWED_REVIEW,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Paredes et al. synthesis/table.
tomato_maturity_001,tomato,Solanum lycopersicum,maturity,maturity,GDD,1214,,,GDD,modified_average,10,30,transplant,,"California, USA",commercial field,SRC-002,"Zalom, F.G.; Wilson, L.T.",1999,,https://ishs.org/ishs-article/487_2/,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Physiological maturity; 536 commercial-field datasets over 4 years reported by later paper citing original model.
tomato_tbase_002,tomato,Solanum lycopersicum,UNKNOWN,UNKNOWN,Tbase,10,,,degC,modified_average,,30,transplant,,"California, USA",commercial field,SRC-002,"Zalom, F.G.; Wilson, L.T.",1999,,https://ishs.org/ishs-article/487_2/,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Conflicts with SRC-001; retained separately. conflict_group=tomato_tbase.
tomato_tupper_002,tomato,Solanum lycopersicum,UNKNOWN,UNKNOWN,Tupper,30,,,degC,modified_average,10,,transplant,,"California, USA",commercial field,SRC-002,"Zalom, F.G.; Wilson, L.T.",1999,,https://ishs.org/ishs-article/487_2/,PRIMARY_EXPERIMENT,HIGH,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Horizontal cutoff.
tomato_tbase_003,tomato,Solanum lycopersicum,transplant,transplant,Tbase,7.2,,,degC,single_sine,,33.3,transplant,varieties unspecified,"Oregon, USA",field,SRC-004,Oregon State University Extension,2020,,https://extension.oregonstate.edu/catalog/em-9305-vegetable-degree-day-models-introduction-farmers-gardeners,INSTITUTIONAL,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,45 F lower and 92 F upper thresholds; crop stage targets not extracted. conflict_group=tomato_tbase.
lettuce_tbase_001,lettuce,Lactuca sativa,UNKNOWN,UNKNOWN,Tbase,4,,,degC,average,,28,,,,,SRC-001,"Paredes, P.; López-Urrea, R.; Martínez-Romero, Á.; et al.",2025,10.1016/j.agwat.2025.109755,https://www.sciencedirect.com/science/article/pii/S037837742500469X,PEER_REVIEWED_REVIEW,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Paredes et al. synthesis/table. conflict_group=lettuce_tbase.
lettuce_tupper_001,lettuce,Lactuca sativa,UNKNOWN,UNKNOWN,Tupper,28,,,degC,average,4,,,,,,SRC-001,"Paredes, P.; López-Urrea, R.; Martínez-Romero, Á.; et al.",2025,10.1016/j.agwat.2025.109755,https://www.sciencedirect.com/science/article/pii/S037837742500469X,PEER_REVIEWED_REVIEW,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,Paredes et al. synthesis/table.
lettuce_tbase_002,lettuce,Lactuca sativa,UNKNOWN,UNKNOWN,Tbase,4.4,,,degC,unknown,,,,,,,SRC-005,Purdue MRCC,,,https://www.mrcc.purdue.edu/resources/growing-degree-day-description,INSTITUTIONAL,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,40 F crop threshold table; method/event not stated. conflict_group=lettuce_tbase.
lettuce_tbase_003,lettuce,Lactuca sativa,UNKNOWN,UNKNOWN,Tbase,4.4,,,degC,unknown,,,,,,,SRC-006,"Fraisse, C.W.; et al.",2018,,https://ask.ifas.ufl.edu/publication/AE428,INSTITUTIONAL,MEDIUM,MEDIUM,EXTERNAL_EVIDENCE,NOT_ACTIVATED,UNMAPPED,40 F crop threshold table; retained as independent institutional source. conflict_group=lettuce_tbase.
